t_s,nufft,lam0.02,lam0.08,lam0.25,glam0.02,glam0.08,glam0.25
2.767912672970462609e+02,2.546747418818995357e-05,5.124445306137204170e-05,4.905325477011501789e-05,4.508147321757860482e-05,5.153181700734421611e-05,4.986051499145105481e-05,4.455918315215967596e-05
2.804230177583008299e+02,2.599822255433537066e-05,5.029324529459699988e-05,4.898430051980540156e-05,4.484723467612639070e-05,5.035108188167214394e-05,4.961919330526143312e-05,4.455588350538164377e-05
2.840547682195553989e+02,2.358488200115971267e-05,4.908511982648633420e-05,4.863020512857474387e-05,4.446011007530614734e-05,4.878444087808020413e-05,4.917335172649472952e-05,4.432829882716760039e-05
2.876865186808100248e+02,2.735827547439839691e-05,5.027341467211954296e-05,4.883659858023747802e-05,4.420329787535592914e-05,5.046156729804351926e-05,4.933361560688354075e-05,4.440578777575865388e-05
2.913182691420645938e+02,2.499485708540305495e-05,4.976315176463685930e-05,4.875099693890661001e-05,4.392485425341874361e-05,4.981550591764971614e-05,4.915249155601486564e-05,4.414341674419119954e-05
2.949500196033192196e+02,2.359530299145262688e-05,4.949116191710345447e-05,4.844248178415000439e-05,4.395760333864018321e-05,4.952177914674393833e-05,4.873902071267366409e-05,4.358538717497140169e-05
2.985817700645737887e+02,2.588859933894127607e-05,4.957705095876008272e-05,4.870544944424182177e-05,4.365140193840488791e-05,4.961202648701146245e-05,4.891600838163867593e-05,4.358342266641557217e-05
3.022135205258283577e+02,2.416434290353208780e-05,4.854278085986152291e-05,4.782421456184238195e-05,4.355524288257583976e-05,4.854252983932383358e-05,4.820466710953041911e-05,4.262273432686924934e-05
3.058452709870829835e+02,2.230595782748423517e-05,4.757293208967894316e-05,4.743874160340055823e-05,4.337835707701742649e-05,4.707759217126294971e-05,4.773252294398844242e-05,4.241178612574003637e-05
3.094770214483375526e+02,2.496017259545624256e-05,4.870902193943038583e-05,4.770375380758196115e-05,4.325354530010372400e-05,4.859702676185406744e-05,4.821259062737226486e-05,4.237476969137787819e-05
3.131087719095921216e+02,2.315439996891655028e-05,4.774253466166555882e-05,4.665396409109234810e-05,4.248246477800421417e-05,4.773142427438870072e-05,4.726086262962780893e-05,4.162803088547661901e-05
3.167405223708467474e+02,2.416779534542001784e-05,4.853805148741230369e-05,4.695616371463984251e-05,4.230625199852511287e-05,4.856834129896014929e-05,4.750787047669291496e-05,4.173493653070181608e-05
3.203722728321013165e+02,2.556298204581253231e-05,4.885310772806406021e-05,4.673793227993883193e-05,4.222864299663342535e-05,4.906774847768247128e-05,4.744861507788300514e-05,4.167330916970968246e-05
3.240040232933558855e+02,2.339430284337140620e-05,4.778418224304914474e-05,4.645745866582728922e-05,4.215117223793640733e-05,4.745616024592891335e-05,4.718701529782265425e-05,4.157166404183954000e-05
3.276357737546105113e+02,2.617858626763336360e-05,4.788045771420001984e-05,4.652098141377791762e-05,4.216402157908305526e-05,4.789779995917342603e-05,4.713486123364418745e-05,4.158791853114962578e-05
3.312675242158650804e+02,2.472329651936888695e-05,4.697417170973494649e-05,4.623481800081208348e-05,4.198778697173111141e-05,4.678271943703293800e-05,4.682996222982183099e-05,4.130804882152006030e-05
3.348992746771197062e+02,2.236110231024213135e-05,4.703024751506745815e-05,4.613419514498673379e-05,4.178431845502927899e-05,4.719640492112375796e-05,4.671700662584044039e-05,4.070698560099117458e-05
3.385310251383742752e+02,2.504966141714248806e-05,4.807257573702372611e-05,4.660644117393530905e-05,4.179291863692924380e-05,4.824042116524651647e-05,4.749719664687290788e-05,4.078667552676051855e-05
3.421627755996288442e+02,2.285151822434272617e-05,4.764230834553018212e-05,4.660466220229864120e-05,4.174517016508616507e-05,4.741409065900370479e-05,4.732839079224504530e-05,4.064583481522276998e-05
3.457945260608834701e+02,2.247533120680600405e-05,4.696657197200693190e-05,4.643815191229805350e-05,4.167227598372846842e-05,4.679939593188464642e-05,4.712463851319625974e-05,4.040713974973186851e-05
3.494262765221380391e+02,2.481451156199909747e-05,4.784051634487695992e-05,4.652102143154479563e-05,4.165778955211862922e-05,4.801349859917536378e-05,4.732066736323758960e-05,4.053986049257218838e-05
3.530580269833926081e+02,2.280530861753504723e-05,4.654503936762921512e-05,4.559070657705888152e-05,4.144065314903855324e-05,4.642677959054708481e-05,4.624223220162093639e-05,4.037599137518554926e-05
3.566897774446472340e+02,2.443473385937977582e-05,4.753896064357832074e-05,4.597532824845984578e-05,4.157071816734969616e-05,4.760445881402119994e-05,4.679949779529124498e-05,4.074322714586742222e-05
3.603215279059018030e+02,2.400315497652627528e-05,4.788489604834467173e-05,4.627396629075519741e-05,4.182212433079257607e-05,4.782792530022561550e-05,4.688662374974228442e-05,4.082845043740235269e-05
3.639532783671564289e+02,2.470448634994681925e-05,4.785268538398668170e-05,4.631535557564347982e-05,4.188436287222430110e-05,4.801740578841418028e-05,4.693166556535288692e-05,4.082622763235121965e-05
3.675850288284109979e+02,2.373474308114964515e-05,4.721119694295339286e-05,4.622421693056821823e-05,4.180199175607413054e-05,4.710455687018111348e-05,4.674339652410708368e-05,4.087734123459085822e-05
3.712167792896655669e+02,2.492516068741679192e-05,4.738091956824064255e-05,4.627112139132805169e-05,4.180056566838175058e-05,4.744364559883251786e-05,4.684204759541898966e-05,4.090693983016535640e-05
